subjID,exptPart,trialNumber,roleCurrent,marblesSampled,asymm,probBullshitterRed,probBullshitDetectorRed,probGlobal,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime
sona-29978,trial,100,bullshitDetector,10,True,0.5,0.8,0.51875,3,9,-1,False,0.1980101119999999,True,5,-5,229,346,5795.809307837128,2397,How many red marbles did you actually draw?,-1,-1,-1,True,9876
sona-31650,practice,1,bullshitter,10,True,0.2,0.8,0.2375,3,3,-1,False,-0.12332600319999996,False,3,7,3,7,2359.499436700466,11638,What was the proportion of red to blue marbles from your opponent's perspective?,80,26,7123,False,38405
sona-31650,practice,2,bullshitDetector,10,False,0.5,0.5,0.5,6,6,6,False,-1,False,4,6,7,13,6697.55162533,2744,What was the proportion of red to blue marbles from your opponent's perspective?,NA,29,8143,False,23747
sona-31650,practice,3,bullshitter,10,True,0.8,0.2,0.7625,6,6,-1,False,0.8213361152000002,False,6,4,13,17,2141.6935468762035,10310,What was the proportion of red to blue marbles from your opponent's perspective?,20,54,7407,False,36765
sona-31650,practice,4,bullshitDetector,10,True,0.5,0.8,0.51875,4,9,9,False,-1,True,5,-5,18,12,5944.775257615387,1919,What was the proportion of red to blue marbles from your opponent's perspective?,NA,29,9015,False,24286
sona-31650,trial,1,bullshitDetector,10,False,0.2,0.2,0.2,3,3,2,False,-1,True,2,3,2,3,6693.761346997101,2207,How many red marbles did your opponent report drawing?,3,5,4273,False,20670
sona-31650,trial,2,bullshitter,10,True,0.5,0.8,0.51875,7,7,-1,False,0.1980101119999999,False,7,3,9,6,2431.8958023537134,14325,How many red marbles did your opponent report drawing?,-1,-1,-1,True,22939
sona-31650,trial,3,bullshitDetector,10,False,0.2,0.2,0.2,0,1,1,False,-1,False,9,1,18,7,7045.693997980896,5130,How many red marbles did your opponent report drawing?,-1,-1,-1,False,14973
sona-31650,trial,4,bullshitter,10,False,0.2,0.2,0.2,5,5,-1,False,0.8158310912000002,True,5,0,23,7,2280.247441518914,5610,How many red marbles did your opponent report drawing?,-1,-1,-1,False,14466
sona-31650,trial,5,bullshitDetector,10,True,0.8,0.2,0.7625,8,4,-1,True,0.8158310912000002,True,5,-5,28,2,6988.158677356292,2820,How many red marbles did your opponent report drawing?,-1,-1,-1,False,12165
